Iteration,Max Residual,Runtime
1,100.0,23.962927103042603
2,99.0,2.221102237701416
3,98.06,2.238983631134033
4,97.06,2.219768762588501
5,96.1,2.221252679824829
6,95.1,2.243241548538208
7,94.1,2.2097439765930176
8,91.8,2.2456231117248535
9,81.75,2.2281525135040283
10,76.9,2.229130506515503
